name,CAS,fluid,,,
"1,1,1,2-Tetrafluoroethane",811-97-2,R134a,,,
"1,1,1-Trifluoroethane",420-46-2,R143a,,,
"1,1-Difluoroethane",75-37-6,R152a,,,
"1,1-Difluoroethylene",75-38-7,R1132a,,,
"1,2-Dichlorotetrafluoroethane",76-14-2,R114,,,
"1,3-Butadiene",106-99-0,13BD,,,
1-Butanol,71-36-3,BUT1OL,,,
"1-Chloro-1,1,2,2-tetrafluoroethane",354-25-6,R124a,,,
"1-Chloro-1,1-difluoroethane",75-68-3,R142b,,,
1-Hexanol,111-27-3,HEX1OL,,,
1-Pentanol,71-41-0,PENT1OL,,,
1-Propanol,71-23-8,PROP1OL,,,
"2,3,3,3-Tetrafluoropropene",754-12-1,R1234yf,,,
"2-Chloro-1,1,1,2-tetrafluoroethane",2837-89-0,R124,,,
2-Methylhexane,591-76-4,2MHX,,,
3-Methylpentane,96-14-0,3MP,,,
Acetone,67-64-1,ACETONE,,,
Acetylene,74-86-2,ACETYLENE,,,
Ammonia,7664-41-7,NH3,,,
Argon,7440-37-1,AR,,,
Benzene,71-43-2,BENZENE,,,
Butanal,123-72-8,BUTANAL,,,
Carbon dioxide,124-38-9,CO2,,,
Carbon monoxide,630-08-0,CO,,,
Carbon tetrafluoride,75-73-0,R14,,,
Chlorine,7782-50-5,CL2,,,
Chlorodifluoromethane,75-45-6,R22,,,
Chloropentafluoroethane,76-15-3,R115,,,
Chlorotrifluoromethane,75-72-9,R13,,,
Chlorotrifluorosilane,14049-36-6,ClF3Si,,,
Cyclohexane,110-82-7,CYCLOHEX,,,
Cyclopropane,75-19-4,C3_1,,,
Deuterium,7782-39-0,D2,,,
Di-methyl ether,115-10-6,DME,,,
Di-n-hexyl ether,112-58-3,S434,,,
Dichlorodifluoromethane,75-71-8,R12,,,
Dichlorofluoromethane,75-43-4,R21,,,
Difluoromethane,75-10-5,R32,,,
Dinitrogen tetroxide,10544-72-6,N2O4,,,
Equilibrium-hydrogen,1333-74-0,E-H2,,,
Ethane,74-84-0,C2,,,
Ethanol,64-17-5,ETOH,,,
Ethylbenzene,100-41-4,EBZN,,,
Ethylene glycol,107-21-1,MEG,,,
Ethylene,74-85-1,C2_1,,,
Helium-4,7440-59-7,HE,,,
Hexafluoroethane,76-16-4,R116,,,
Hydrazine,302-01-2,N2H4,,,
Hydrogen peroxide,7722-84-1,H2O2,,,
Hydrogen sulfide,04/06/7783,H2S,,,
Hydrogen,1333-74-0,H2,,,
Isobutane,75-28-5,IC4,,,
Isopentane,78-78-4,IC5,,,
Krypton,7439-90-9,KR,,,
Lennard-jones_fluid,,LJF,,,
Methane,74-82-8,C1,,,
Methanol,67-56-1,MEOH,,,
Methyl fluoride,593-53-3,R41,,,
Methylcyclopentane,96-37-7,MTC5,,,
Neon,09/01/7440,NE,,,
Nitric oxide,10102-43-9,NO,,,
Nitrogen,7727-37-9,N2,,,
Nitrous oxide,10024-97-2,N2O,,,
Octafluoropropane,76-19-7,R218,,,
Ortho-hydrogen,1333-74-0,O-H2,,,
Oxygen,7782-44-7,O2,,,
Para-hydrogen,1333-74-0,P-H2,,,
Pentafluoroethane,354-33-6,R125,,,
Propadiene,463-49-0,ALLENE,,,
Propane,74-98-6,C3,,,
Propylene,115-07-1,PRLN,,,
Pseudo,XXX,PSEUDO,,,
Sulfur dioxide,05/09/7446,SO2,,,
Sulfur hexafluoride,2551-62-4,F6S,,,
Tetrafluoroethylene,116-14-3,R1114,,,
Tetrafluorohydrazine,10036-47-2,F4N2,,,
Toluene,108-88-3,TOLU,,,
"Trans-1,3,3,3-tetrafluoropropene",29118-24-9,R1234ze,,,
Trichlorofluoromethane,75-69-4,R11,,,
Trifluoroamine oxide,13847-65-9,F3NO,,,
Trifluoromethane,75-46-7,R23,,,
Water,7732-18-5,H2O,,,
Xenon,7440-63-3,XE,,,
m-Xylene,108-38-3,MXYL,,,
n-Butane,106-97-8,NC4,,,
n-Decane,124-18-5,NC10,,,
n-Docosane,629-97-0,NC22,,,
n-Dodecane,112-40-3,NC12,,,
n-Eicosane,112-95-8,NC20,,,
n-Heneicosane,629-94-7,NC21,,,
n-Heptadecane,629-78-7,NC17,,,
n-Heptane,142-82-5,NC7,,,
n-Hexadecane,544-76-3,NC16,,,
n-Hexane,110-54-3,NC6,,,
n-Hydrogen,1333-74-0,N-H2,,,
n-Nonadecane,629-92-5,NC19,,,
n-Nonane,111-84-2,NC9,,,
n-Octadecane,593-45-3,NC18,,,
n-Octane,111-65-9,NC8,,,
n-Pentacosane,629-99-2,NC25,,,
n-Pentadecane,629-62-9,NC15,,,
n-Pentan,109-66-0,NC5,,,
n-Tetracosane,646-31-1,NC24,,,
n-Tetradecane,629-59-4,NC14,,,
n-Tricosane,638-67-5,NC23,,,
n-Tridecane,629-50-5,NC13,,,
n-Undecane,1120-21-4,NC11,,,
o-Xylene,95-47-6,OXYL,,,
p-Xylene,106-42-3,PXYL,,,
